year,west,east,gradient,dataset,latitude_half_width
1950,28.7124039276,24.8899982494,3.8224056782,ERSSTv5,3
1951,28.9120067539,26.3065167355,2.6054900184,ERSSTv5,3
1952,28.8217775364,25.6445129294,3.1772646071,ERSSTv5,3
1953,28.8409442782,26.3900929779,2.4508513003,ERSSTv5,3
1954,28.8137020304,24.9442992938,3.8694027366,ERSSTv5,3
1955,28.6129680687,24.6189336803,3.9940343885,ERSSTv5,3
1956,28.9243423246,25.2032965975,3.7210457271,ERSSTv5,3
1957,28.8169217008,26.7787616726,2.0381600282,ERSSTv5,3
1958,28.9395878358,26.3516870609,2.5879007750,ERSSTv5,3
1959,28.8473335740,25.7098814959,3.1374520780,ERSSTv5,3
1960,28.9081164709,25.6026265483,3.3054899225,ERSSTv5,3
1961,28.8904997015,25.5249981075,3.3655015939,ERSSTv5,3
1962,29.0990235959,25.3272993066,3.7717242894,ERSSTv5,3
1963,29.1685089222,26.2892384395,2.8792704827,ERSSTv5,3
1964,28.8707892536,25.1023744448,3.7684148088,ERSSTv5,3
1965,28.6491485026,26.6817515244,1.9673969782,ERSSTv5,3
1966,29.0292526671,25.8453637263,3.1838889408,ERSSTv5,3
1967,29.0769920262,25.3253977483,3.7515942779,ERSSTv5,3
1968,29.2093923165,25.7716876458,3.4377046706,ERSSTv5,3
1969,29.5179138197,26.6168980730,2.9010157467,ERSSTv5,3
1970,29.1813373703,25.2479116204,3.9334257499,ERSSTv5,3
1971,28.8424895712,24.8819118895,3.9605776817,ERSSTv5,3
1972,28.8613018806,27.0266736676,1.8346282129,ERSSTv5,3
1973,29.0163120902,25.1323616611,3.8839504292,ERSSTv5,3
1974,28.9109427096,25.1062058662,3.8047368434,ERSSTv5,3
1975,28.6893637809,24.9121142680,3.7772495128,ERSSTv5,3
1976,28.9292421865,26.0883280156,2.8409141710,ERSSTv5,3
1977,29.1984549530,26.2606696097,2.9377853433,ERSSTv5,3
1978,29.2294040579,25.6277589741,3.6016450839,ERSSTv5,3
1979,29.2495328755,26.2207985872,3.0287342883,ERSSTv5,3
1980,29.2834622124,26.0970805939,3.1863816185,ERSSTv5,3
1981,29.3468635369,25.6672018545,3.6796616824,ERSSTv5,3
1982,29.1881056526,27.1540646905,2.0340409621,ERSSTv5,3
1983,29.0178607330,26.8429978535,2.1748628795,ERSSTv5,3
1984,29.1414045305,25.3748238710,3.7665806595,ERSSTv5,3
1985,29.2137116743,25.2110026233,4.0027090511,ERSSTv5,3
1986,29.3157542241,26.1460056602,3.1697485639,ERSSTv5,3
1987,29.1308603671,27.3302140968,1.8006462703,ERSSTv5,3
1988,29.3430787385,24.9370001605,4.4060785780,ERSSTv5,3
1989,29.2267522127,25.3817158527,3.8450363600,ERSSTv5,3
1990,29.4532882194,26.1622755482,3.2910126712,ERSSTv5,3
1991,29.4379612759,26.7026860498,2.7352752261,ERSSTv5,3
1992,29.0641849170,26.6685208918,2.3956640253,ERSSTv5,3
1993,28.9497014173,26.4707982116,2.4789032057,ERSSTv5,3
1994,29.4261815520,26.3746906744,3.0514908776,ERSSTv5,3
1995,29.6875779596,25.7407986019,3.9467793577,ERSSTv5,3
1996,29.6032700915,25.4641606903,4.1391094012,ERSSTv5,3
1997,29.2158591221,27.6488512163,1.5670079057,ERSSTv5,3
1998,29.1717425972,26.3752054840,2.7965371132,ERSSTv5,3
1999,29.1346323665,24.9342911353,4.2003412313,ERSSTv5,3
2000,29.2836993997,25.3807071767,3.9029922230,ERSSTv5,3
2001,29.5923607488,25.8169503513,3.7754103975,ERSSTv5,3
2002,29.6271871755,26.8110723810,2.8161147945,ERSSTv5,3
2003,29.8232137067,26.3207715034,3.5024422032,ERSSTv5,3
2004,29.7391656581,26.4510476055,3.2881180525,ERSSTv5,3
2005,29.7560255032,26.0341405376,3.7218849657,ERSSTv5,3
2006,29.6450710928,26.3552548453,3.2898162475,ERSSTv5,3
2007,29.7430416455,25.3379261874,4.4051154581,ERSSTv5,3
2008,29.2374494255,25.6778382480,3.5596111775,ERSSTv5,3
2009,29.7032092047,26.5221598817,3.1810493230,ERSSTv5,3
2010,29.5401477103,25.6290343599,3.9111133504,ERSSTv5,3
2011,29.4548057466,25.4496829569,4.0051227897,ERSSTv5,3
2012,29.5273003005,26.1198181485,3.4074821519,ERSSTv5,3
2013,29.6811180645,25.6892519195,3.9918661450,ERSSTv5,3
2014,29.9078758920,26.3681201677,3.5397557244,ERSSTv5,3
2015,29.6393881362,27.8199778435,1.8194102927,ERSSTv5,3
2016,29.8640746241,26.4021497828,3.4619248413,ERSSTv5,3
2017,29.9611365615,25.9075320494,4.0536045121,ERSSTv5,3
2018,29.9640808041,26.1603584054,3.8037223987,ERSSTv5,3
2019,29.8894964705,26.5378105008,3.3516859698,ERSSTv5,3
2020,29.9680573546,25.6940606148,4.2739967398,ERSSTv5,3
2021,29.7050163315,25.4407310143,4.2642853172,ERSSTv5,3
2022,29.6150391043,25.1925818124,4.4224572920,ERSSTv5,3
2023,29.9585151471,27.3486072462,2.6099079009,ERSSTv5,3
2024,30.2594971546,26.4306291440,3.8288680106,ERSSTv5,3
2025,30.0186006598,25.8958650138,4.1227356460,ERSSTv5,3
1950,28.7630321166,25.2164151942,3.5466169224,ERSSTv5,5
1951,28.9118257592,26.5322369017,2.3795888575,ERSSTv5,5
1952,28.8374583310,26.0069579100,2.8305004209,ERSSTv5,5
1953,28.8540572218,26.6497792138,2.2042780080,ERSSTv5,5
1954,28.8418877899,25.3165026509,3.5253851390,ERSSTv5,5
1955,28.6437514986,24.9701727325,3.6735787661,ERSSTv5,5
1956,28.9458598121,25.4680175122,3.4778422999,ERSSTv5,5
1957,28.8271271995,26.9661109771,1.8610162224,ERSSTv5,5
1958,28.9289470735,26.6601362257,2.2688108479,ERSSTv5,5
1959,28.8557427485,26.0637207689,2.7920219796,ERSSTv5,5
1960,28.9340472608,25.9458818729,2.9881653879,ERSSTv5,5
1961,28.9115066850,25.8443672493,3.0671394358,ERSSTv5,5
1962,29.1255405696,25.6596418105,3.4658987591,ERSSTv5,5
1963,29.1909564640,26.5471505256,2.6438059385,ERSSTv5,5
1964,28.9109043033,25.4588931956,3.4520111077,ERSSTv5,5
1965,28.6515808682,26.8850496819,1.7665311863,ERSSTv5,5
1966,29.0112844295,26.1759402043,2.8353442253,ERSSTv5,5
1967,29.0774638137,25.6557078451,3.4217559687,ERSSTv5,5
1968,29.2032602270,26.0506784999,3.1525817272,ERSSTv5,5
1969,29.4898232655,26.8518283953,2.6379948702,ERSSTv5,5
1970,29.1985106844,25.6121413384,3.5863693460,ERSSTv5,5
1971,28.8746154405,25.1998665629,3.6747488777,ERSSTv5,5
1972,28.8489882668,27.1880363503,1.6609519165,ERSSTv5,5
1973,29.0380308518,25.5286458182,3.5093850336,ERSSTv5,5
1974,28.9432900378,25.4176569923,3.5256330455,ERSSTv5,5
1975,28.7275323175,25.2219128633,3.5056194542,ERSSTv5,5
1976,28.9360230717,26.3059143069,2.6301087648,ERSSTv5,5
1977,29.1888774104,26.5350085025,2.6538689078,ERSSTv5,5
1978,29.2246015696,25.9512843555,3.2733172142,ERSSTv5,5
1979,29.2394688297,26.4815445874,2.7579242423,ERSSTv5,5
1980,29.2707919337,26.3805180009,2.8902739329,ERSSTv5,5
1981,29.3537453494,25.9709130539,3.3828322956,ERSSTv5,5
1982,29.1747092782,27.3467068300,1.8280024482,ERSSTv5,5
1983,29.0220508267,27.1166761542,1.9053746724,ERSSTv5,5
1984,29.1636943023,25.7582769093,3.4054173930,ERSSTv5,5
1985,29.2269001341,25.5678029322,3.6590972019,ERSSTv5,5
1986,29.3077223428,26.4173864809,2.8903358619,ERSSTv5,5
1987,29.1229278373,27.5306405891,1.5922872482,ERSSTv5,5
1988,29.3699823542,25.3923137805,3.9776685737,ERSSTv5,5
1989,29.2607210058,25.7147184508,3.5460025551,ERSSTv5,5
1990,29.4430089204,26.4497856988,2.9932232215,ERSSTv5,5
1991,29.4162605128,26.9580421947,2.4582183181,ERSSTv5,5
1992,29.0486007627,26.9274087895,2.1211919732,ERSSTv5,5
1993,28.9225393105,26.7555443095,2.1669950010,ERSSTv5,5
1994,29.3934158728,26.6624293636,2.7309865092,ERSSTv5,5
1995,29.6816188147,26.0975793135,3.5840395012,ERSSTv5,5
1996,29.6153645517,25.8240961684,3.7912683833,ERSSTv5,5
1997,29.2034343848,27.7763342516,1.4271001332,ERSSTv5,5
1998,29.2040165720,26.7285788138,2.4754377582,ERSSTv5,5
1999,29.1745243385,25.3359765609,3.8385477776,ERSSTv5,5
2000,29.3217727575,25.7104851428,3.6112876147,ERSSTv5,5
2001,29.6054770726,26.1234871058,3.4819899668,ERSSTv5,5
2002,29.6163895404,27.0038398468,2.6125496936,ERSSTv5,5
2003,29.8140490398,26.6058263266,3.2082227132,ERSSTv5,5
2004,29.7237920313,26.7168383893,3.0069536420,ERSSTv5,5
2005,29.7468886610,26.3397197658,3.4071688952,ERSSTv5,5
2006,29.6424226711,26.6234978108,3.0189248604,ERSSTv5,5
2007,29.7572679826,25.7384850346,4.0187829481,ERSSTv5,5
2008,29.2836095710,25.9729397688,3.3106698022,ERSSTv5,5
2009,29.7028023025,26.7925038092,2.9102984933,ERSSTv5,5
2010,29.5695245487,25.9659006927,3.6036238560,ERSSTv5,5
2011,29.5001161093,25.7591646213,3.7409514880,ERSSTv5,5
2012,29.5473322649,26.4248330025,3.1224992625,ERSSTv5,5
2013,29.6934437311,26.0371864721,3.6562572590,ERSSTv5,5
2014,29.8985463521,26.6515662437,3.2469801085,ERSSTv5,5
2015,29.6174618226,27.9614044090,1.6560574136,ERSSTv5,5
2016,29.8705122274,26.7651102579,3.1054019695,ERSSTv5,5
2017,29.9685396571,26.2648668445,3.7036728127,ERSSTv5,5
2018,29.9446689636,26.4412392962,3.5034296674,ERSSTv5,5
2019,29.8643148776,26.8232944112,3.0410204664,ERSSTv5,5
2020,29.9825989318,26.0572117052,3.9253872266,ERSSTv5,5
2021,29.7352241916,25.7930683520,3.9421558396,ERSSTv5,5
2022,29.6580184240,25.5391295847,4.1188888394,ERSSTv5,5
2023,29.9478277891,27.5328104098,2.4150173793,ERSSTv5,5
2024,30.2500429302,26.7553956999,3.4946472303,ERSSTv5,5
2025,30.0493142500,26.2163129892,3.8330012608,ERSSTv5,5
1950,29.1699177430,25.1292058131,4.0407119299,COBE-SST2,3
1951,29.1596264002,26.4370447602,2.7225816400,COBE-SST2,3
1952,29.0791017243,25.5475197109,3.5315820134,COBE-SST2,3
1953,28.9805835601,26.3828015887,2.5977819714,COBE-SST2,3
1954,28.8881972686,24.9542649297,3.9339323389,COBE-SST2,3
1955,28.9377411537,24.7097623091,4.2279788445,COBE-SST2,3
1956,28.9733645695,25.2552294542,3.7181351153,COBE-SST2,3
1957,29.0360842098,26.9076737199,2.1284104900,COBE-SST2,3
1958,29.0964056945,26.4836109351,2.6127947594,COBE-SST2,3
1959,28.9990330808,26.0231607098,2.9758723710,COBE-SST2,3
1960,28.9727071362,25.6034679199,3.3692392163,COBE-SST2,3
1961,28.9415108231,25.4792673365,3.4622434866,COBE-SST2,3
1962,29.1865138625,25.3218821179,3.8646317446,COBE-SST2,3
1963,29.3068920227,26.2109134812,3.0959785415,COBE-SST2,3
1964,29.0794367792,25.1224629963,3.9569737829,COBE-SST2,3
1965,28.7381001784,26.6370998425,2.1010003359,COBE-SST2,3
1966,29.0834498247,25.9182499051,3.1651999196,COBE-SST2,3
1967,29.1354344705,25.3060125104,3.8294219601,COBE-SST2,3
1968,29.2808765924,25.6882764144,3.5926001780,COBE-SST2,3
1969,29.3800684791,26.6473547124,2.7327137668,COBE-SST2,3
1970,29.1403043151,25.1793780231,3.9609262920,COBE-SST2,3
1971,28.8481490309,24.8219106268,4.0262384041,COBE-SST2,3
1972,28.9049363867,26.9171059362,1.9878304505,COBE-SST2,3
1973,28.9901254984,25.1953571216,3.7947683768,COBE-SST2,3
1974,28.9559697789,25.1002775070,3.8556922719,COBE-SST2,3
1975,28.7069281950,24.8377701204,3.8691580745,COBE-SST2,3
1976,28.8646922223,25.9908131622,2.8738790602,COBE-SST2,3
1977,29.1029283495,26.1451296108,2.9577987387,COBE-SST2,3
1978,29.1743181933,25.5748423210,3.5994758723,COBE-SST2,3
1979,29.3042532489,26.1673583887,3.1368948603,COBE-SST2,3
1980,29.2342194296,25.9386368934,3.2955825362,COBE-SST2,3
1981,29.3656445837,25.4835292730,3.8821153107,COBE-SST2,3
1982,29.1588940439,26.9112618532,2.2476321907,COBE-SST2,3
1983,28.9233547821,26.8330129718,2.0903418102,COBE-SST2,3
1984,29.0573056203,25.2565384870,3.8007671332,COBE-SST2,3
1985,29.1777863305,25.1411173186,4.0366690119,COBE-SST2,3
1986,29.3225858733,26.1700326124,3.1525532609,COBE-SST2,3
1987,29.2500645056,27.3095298745,1.9405346311,COBE-SST2,3
1988,29.1110971036,24.7275252910,4.3835718126,COBE-SST2,3
1989,29.2395663367,25.2591347004,3.9804316363,COBE-SST2,3
1990,29.5496699439,26.0542469564,3.4954229874,COBE-SST2,3
1991,29.4248542960,26.6764370142,2.7484172818,COBE-SST2,3
1992,29.1733605660,26.5877990705,2.5855614955,COBE-SST2,3
1993,29.0666188135,26.4489596466,2.6176591669,COBE-SST2,3
1994,29.4340426243,26.2253623492,3.2086802752,COBE-SST2,3
1995,29.6221881319,25.5486228166,4.0735653152,COBE-SST2,3
1996,29.7007315757,25.2907139711,4.4100176047,COBE-SST2,3
1997,29.3237827598,27.6631007061,1.6606820536,COBE-SST2,3
1998,29.0558164040,26.2061928461,2.8496235579,COBE-SST2,3
1999,29.0265778901,24.9003222046,4.1262556855,COBE-SST2,3
2000,29.3407408705,25.3398289704,4.0009119001,COBE-SST2,3
2001,29.6372858121,25.7359898173,3.9012959948,COBE-SST2,3
2002,29.5611839447,26.7801014856,2.7810824591,COBE-SST2,3
2003,29.8286147706,26.2091131257,3.6195016449,COBE-SST2,3
2004,29.7729543261,26.3266127535,3.4463415726,COBE-SST2,3
2005,29.8175112817,25.9153005234,3.9022107583,COBE-SST2,3
2006,29.6540732184,26.2385163468,3.4155568716,COBE-SST2,3
2007,29.7348100952,25.2630214692,4.4717886259,COBE-SST2,3
2008,29.2096538219,25.4977340706,3.7119197513,COBE-SST2,3
2009,29.6396173869,26.4590840763,3.1805333107,COBE-SST2,3
2010,29.4098853122,25.5715630631,3.8383222491,COBE-SST2,3
2011,29.4480106313,25.4613498484,3.9866607829,COBE-SST2,3
2012,29.5525046294,26.3282490259,3.2242556036,COBE-SST2,3
2013,29.8584055553,25.6256230823,4.2327824730,COBE-SST2,3
2014,29.9564604101,26.3637589756,3.5927014346,COBE-SST2,3
2015,29.6429734043,27.7482556183,1.8947177860,COBE-SST2,3
2016,29.9983648485,26.4123972293,3.5859676192,COBE-SST2,3
2017,29.9515311492,25.8729637896,4.0785673596,COBE-SST2,3
2018,29.9321181980,26.0252619187,3.9068562793,COBE-SST2,3
2019,29.9011557261,26.5103592266,3.3907964995,COBE-SST2,3
2020,29.9666268965,25.5083688121,4.4582580844,COBE-SST2,3
2021,29.7286858111,25.3118491116,4.4168366994,COBE-SST2,3
2022,29.5927127089,24.8819858882,4.7107268207,COBE-SST2,3
2023,29.9470168393,27.2074601147,2.7395567246,COBE-SST2,3
2024,30.3012486902,26.3568944183,3.9443542719,COBE-SST2,3
2025,29.8571121136,25.6798847454,4.1772273682,COBE-SST2,3
1950,29.1831332533,25.4523472973,3.7307859560,COBE-SST2,5
1951,29.1665311990,26.6368833573,2.5296478417,COBE-SST2,5
1952,29.0918710797,25.9602748028,3.1315962769,COBE-SST2,5
1953,28.9681500911,26.6507550573,2.3173950337,COBE-SST2,5
1954,28.9087600619,25.4099621214,3.4987979405,COBE-SST2,5
1955,28.9755791365,25.1101894142,3.8653897223,COBE-SST2,5
1956,29.0013226732,25.5410205916,3.4603020816,COBE-SST2,5
1957,29.0171411769,27.0691278138,1.9480133631,COBE-SST2,5
1958,29.0680626423,26.7962445147,2.2718181276,COBE-SST2,5
1959,28.9657349243,26.3393066947,2.6264282296,COBE-SST2,5
1960,28.9606648325,25.9571279454,3.0035368871,COBE-SST2,5
1961,28.9390933396,25.8215201950,3.1175731446,COBE-SST2,5
1962,29.1942540609,25.6654149067,3.5288391542,COBE-SST2,5
1963,29.3001536884,26.4980423210,2.8021113675,COBE-SST2,5
1964,29.0953000316,25.5233904589,3.5719095727,COBE-SST2,5
1965,28.7207857280,26.8596218044,1.8611639235,COBE-SST2,5
1966,29.0735022543,26.2927148693,2.7807873850,COBE-SST2,5
1967,29.1469458840,25.6928208862,3.4541249978,COBE-SST2,5
1968,29.2869504266,26.0260640781,3.2608863485,COBE-SST2,5
1969,29.3683447073,26.9113481428,2.4569965645,COBE-SST2,5
1970,29.1592485713,25.6030789045,3.5561696668,COBE-SST2,5
1971,28.8806600899,25.1901720654,3.6904880245,COBE-SST2,5
1972,28.8760388645,27.0965979052,1.7794409593,COBE-SST2,5
1973,29.0127578129,25.6255344350,3.3872233779,COBE-SST2,5
1974,28.9866882042,25.4461414347,3.5405467695,COBE-SST2,5
1975,28.7544193046,25.2045606381,3.5498586664,COBE-SST2,5
1976,28.8695319070,26.2255025968,2.6440293102,COBE-SST2,5
1977,29.0812661586,26.4481707536,2.6330954050,COBE-SST2,5
1978,29.1660457339,25.9311365877,3.2349091462,COBE-SST2,5
1979,29.2794358421,26.4696785706,2.8097572715,COBE-SST2,5
1980,29.2107505692,26.2845351814,2.9262153879,COBE-SST2,5
1981,29.3440790846,25.8516720027,3.4924070819,COBE-SST2,5
1982,29.1274756111,27.1180770464,2.0093985648,COBE-SST2,5
1983,28.9286586786,27.1215438949,1.8071147837,COBE-SST2,5
1984,29.0976634964,25.6901618929,3.4075016035,COBE-SST2,5
1985,29.1827514457,25.5675571152,3.6151943305,COBE-SST2,5
1986,29.2855308793,26.4435885140,2.8419423653,COBE-SST2,5
1987,29.2132338052,27.5284319968,1.6848018085,COBE-SST2,5
1988,29.1469350899,25.3087975168,3.8381375730,COBE-SST2,5
1989,29.2609952940,25.6438158523,3.6171794417,COBE-SST2,5
1990,29.5051603150,26.3674205828,3.1377397322,COBE-SST2,5
1991,29.3841869963,26.9253647883,2.4588222080,COBE-SST2,5
1992,29.1240292317,26.8851660718,2.2388631599,COBE-SST2,5
1993,29.0194238001,26.7666702191,2.2527535810,COBE-SST2,5
1994,29.3797868758,26.5688909109,2.8108959649,COBE-SST2,5
1995,29.6153151206,25.9984596691,3.6168554514,COBE-SST2,5
1996,29.7026227784,25.7433982088,3.9592245696,COBE-SST2,5
1997,29.2882573792,27.7920325920,1.4962247872,COBE-SST2,5
1998,29.1139416174,26.6936795605,2.4202620569,COBE-SST2,5
1999,29.1052527353,25.3828009524,3.7224517829,COBE-SST2,5
2000,29.3904979603,25.7133959386,3.6771020218,COBE-SST2,5
2001,29.6209049315,26.0802586283,3.5406463032,COBE-SST2,5
2002,29.5221118782,26.9927386084,2.5293732698,COBE-SST2,5
2003,29.7620389642,26.5632858335,3.1987531307,COBE-SST2,5
2004,29.7212239635,26.6510001680,3.0702237955,COBE-SST2,5
2005,29.7680780567,26.3043404344,3.4637376223,COBE-SST2,5
2006,29.6204409065,26.5573047534,3.0631361531,COBE-SST2,5
2007,29.7161751547,25.7159302709,4.0002448839,COBE-SST2,5
2008,29.2354333314,25.8655729390,3.3698603924,COBE-SST2,5
2009,29.6208046521,26.7861400560,2.8346645961,COBE-SST2,5
2010,29.4380776843,25.9721855287,3.4658921555,COBE-SST2,5
2011,29.4792640957,25.7844278271,3.6948362686,COBE-SST2,5
2012,29.5447241648,26.5771208394,2.9676033253,COBE-SST2,5
2013,29.8333956773,26.0228777749,3.8105179024,COBE-SST2,5
2014,29.9127543231,26.6920647280,3.2206895951,COBE-SST2,5
2015,29.6005600572,27.9408541043,1.6597059529,COBE-SST2,5
2016,29.9552914957,26.8353605325,3.1199309632,COBE-SST2,5
2017,29.9594451129,26.3367874806,3.6226576323,COBE-SST2,5
2018,29.9157905114,26.4250467769,3.4907437345,COBE-SST2,5
2019,29.8560826059,26.8565085235,2.9995740823,COBE-SST2,5
2020,29.9591442459,25.9945537964,3.9645904495,COBE-SST2,5
2021,29.7418817475,25.7617109418,3.9801708057,COBE-SST2,5
2022,29.6278567791,25.3575885237,4.2702682554,COBE-SST2,5
2023,29.9073805532,27.4256725803,2.4817079729,COBE-SST2,5
2024,30.2704002499,26.7902217613,3.4801784887,COBE-SST2,5
2025,29.8714535643,26.0986663734,3.7727871909,COBE-SST2,5
