time,west,east,gradient,dataset,latitude_half_width
1950-01-01,28.5863878512,23.6294561319,4.9569317193,ERSSTv5,3
1950-02-01,28.4718210114,24.7040082218,3.7678127896,ERSSTv5,3
1950-03-01,28.4337841284,25.9791342735,2.4546498549,ERSSTv5,3
1950-04-01,28.5619610392,26.0733258588,2.4886351803,ERSSTv5,3
1950-05-01,28.7172370493,25.6262619985,3.0909750508,ERSSTv5,3
1950-06-01,29.7818135559,25.5973261548,4.1844874011,ERSSTv5,3
1950-07-01,29.0789467999,25.1255464793,3.9534003206,ERSSTv5,3
1950-08-01,28.8072865165,24.7110990797,4.0961874368,ERSSTv5,3
1950-09-01,27.9918720800,24.3568526942,3.6350193858,ERSSTv5,3
1950-10-01,28.2386024002,24.4520222623,3.7865801378,ERSSTv5,3
1950-11-01,28.8565924349,24.0825846503,4.7740077846,ERSSTv5,3
1950-12-01,29.0103124145,24.3421071972,4.6682052174,ERSSTv5,3
1951-01-01,29.0955190984,24.8351710509,4.2603480475,ERSSTv5,3
1951-02-01,28.5248265718,25.5827997033,2.9420268685,ERSSTv5,3
1951-03-01,28.6614803760,26.8222954413,1.8391849347,ERSSTv5,3
1951-04-01,28.9945392992,27.3670562196,1.6274830795,ERSSTv5,3
1951-05-01,29.4479494263,27.3067153675,2.1412340587,ERSSTv5,3
1951-06-01,29.1217155131,26.9348101200,2.1869053931,ERSSTv5,3
1951-07-01,28.8753293173,26.7328050529,2.1425242644,ERSSTv5,3
1951-08-01,28.2543947460,25.8986842429,2.3557105031,ERSSTv5,3
1951-09-01,28.7334692484,25.9015942065,2.8318750419,ERSSTv5,3
1951-10-01,28.9221572097,26.0249600360,2.8971971738,ERSSTv5,3
1951-11-01,29.1970640850,26.2135607561,2.9835033289,ERSSTv5,3
1951-12-01,29.0910303681,26.0261293795,3.0649009886,ERSSTv5,3
1952-01-01,29.0104198609,25.9297342979,3.0806855630,ERSSTv5,3
1952-02-01,28.7053764541,26.4096747606,2.2957016935,ERSSTv5,3
1952-03-01,28.5336514576,26.9583847334,1.5752667242,ERSSTv5,3
1952-04-01,28.7980923036,27.2355237526,1.5625685510,ERSSTv5,3
1952-05-01,28.9885461057,26.7880676198,2.2004784859,ERSSTv5,3
1952-06-01,28.8972455776,25.9088073354,2.9884382422,ERSSTv5,3
