dataset,start_year,lag_years,acf
ERSSTv5,1950,1,-0.018060060295740907
ERSSTv5,1950,2,-0.334914634020602
ERSSTv5,1950,3,-0.13392755099745912
ERSSTv5,1950,4,0.17673309011685748
ERSSTv5,1950,5,0.03764615056743186
ERSSTv5,1950,6,0.0146065107261628
ERSSTv5,1950,7,0.06566499075629059
ERSSTv5,1950,8,-0.06351573563272994
ERSSTv5,1950,9,-0.1828706501186479
ERSSTv5,1950,10,0.09474741910794406
ERSSTv5,1950,11,0.23716810748269038
ERSSTv5,1950,12,-0.05700688974730049
ERSSTv5,1950,13,-0.18827554155663742
ERSSTv5,1950,14,0.07555619672534118
ERSSTv5,1950,15,0.21823245830567964
ERSSTv5,1979,1,0.009509891617321782
ERSSTv5,1979,2,-0.4519192183079828
ERSSTv5,1979,3,-0.17228333089467834
ERSSTv5,1979,4,0.20066965741154605
ERSSTv5,1979,5,0.08078586078615706
ERSSTv5,1979,6,-0.07972526899347926
ERSSTv5,1979,7,-0.05042768361678744
ERSSTv5,1979,8,-0.08209775526360047
ERSSTv5,1979,9,-0.1304203278861929
ERSSTv5,1979,10,0.10027458090602269
ERSSTv5,1979,11,0.24773425206374708
ERSSTv5,1979,12,-0.06954308590862748
ERSSTv5,1979,13,-0.19354609194868502
ERSSTv5,1979,14,-0.019265880528257364
ERSSTv5,1979,15,0.19000776459952756
COBE-SST2,1950,1,-0.022438454134327317
COBE-SST2,1950,2,-0.33787550767852614
COBE-SST2,1950,3,-0.1252902284712923
COBE-SST2,1950,4,0.18569353380889872
COBE-SST2,1950,5,0.01443599031740921
COBE-SST2,1950,6,0.03346631116573822
COBE-SST2,1950,7,0.053292307561900336
COBE-SST2,1950,8,-0.06292025178814703
COBE-SST2,1950,9,-0.16418354835672788
COBE-SST2,1950,10,0.07111903410823253
COBE-SST2,1950,11,0.2158999116222228
COBE-SST2,1950,12,-0.056146005050325076
COBE-SST2,1950,13,-0.17221176993898504
COBE-SST2,1950,14,0.08712761591870817
COBE-SST2,1950,15,0.20406944067831917
COBE-SST2,1979,1,-0.009510068731187307
COBE-SST2,1979,2,-0.453363082973104
COBE-SST2,1979,3,-0.1719301218107512
COBE-SST2,1979,4,0.21737917311228752
COBE-SST2,1979,5,0.07514427109964456
COBE-SST2,1979,6,-0.058584069458278036
COBE-SST2,1979,7,-0.061401442273771
COBE-SST2,1979,8,-0.07684348029152444
COBE-SST2,1979,9,-0.11151368531280352
COBE-SST2,1979,10,0.06215344536370524
COBE-SST2,1979,11,0.22264663629275597
COBE-SST2,1979,12,-0.0665122238937208
COBE-SST2,1979,13,-0.18294943165789818
COBE-SST2,1979,14,-0.010003844494979345
COBE-SST2,1979,15,0.2087535260517244
