dataset,latitude_half_width,start_year,end_year,variable,slope_C_per_decade,ci_low,ci_high,n_years,block_years,bootstrap_draws,r_squared
ERSSTv5,3,1950,2025,west,0.1566381199,0.1337671938,0.1788840011,76,5,5000,0.7721689352
ERSSTv5,3,1950,2025,east,0.0807728139,0.0278457540,0.1348560788,76,5,5000,0.0645653717
ERSSTv5,3,1950,2025,gradient,0.0758653060,0.0153757674,0.1386264991,76,3,5000,0.0561201929
ERSSTv5,3,1950,2025,gradient,0.0758653060,0.0221157446,0.1280720033,76,5,5000,0.0561201929
ERSSTv5,3,1950,2025,gradient,0.0758653060,0.0261415747,0.1268018946,76,7,5000,0.0561201929
ERSSTv5,3,1979,2025,west,0.1839992969,0.1394565084,0.2263128481,47,5,5000,0.6450905560
ERSSTv5,3,1979,2025,east,0.0005128958,-0.1041750075,0.1067222152,47,5,5000,0.0000010632
ERSSTv5,3,1979,2025,gradient,0.1834864011,0.0597918678,0.3103779852,47,3,5000,0.1140683588
ERSSTv5,3,1979,2025,gradient,0.1834864011,0.0814003613,0.2787640049,47,5,5000,0.1140683588
ERSSTv5,3,1979,2025,gradient,0.1834864011,0.0922819540,0.2728590473,47,7,5000,0.1140683588
ERSSTv5,3,1993,2025,west,0.2181549565,0.1430462073,0.2948161691,33,5,5000,0.5207331839
ERSSTv5,3,1993,2025,east,0.0140795506,-0.1810855000,0.2120262941,33,5,5000,0.0004190302
ERSSTv5,3,1993,2025,gradient,0.2040754058,0.0154949920,0.3976246416,33,3,5000,0.0800927990
ERSSTv5,3,1993,2025,gradient,0.2040754058,0.0283377556,0.3783659189,33,5,5000,0.0800927990
ERSSTv5,3,1993,2025,gradient,0.2040754058,0.0501817456,0.3443312917,33,7,5000,0.0800927990
ERSSTv5,3,2000,2025,west,0.1865867048,0.0887950139,0.2874916223,26,5,5000,0.3853260985
ERSSTv5,3,2000,2025,east,0.0700725455,-0.2051959932,0.3322463345,26,5,5000,0.0074952573
ERSSTv5,3,2000,2025,gradient,0.1165141593,-0.1588847056,0.3817600734,26,3,5000,0.0231067382
ERSSTv5,3,2000,2025,gradient,0.1165141593,-0.1169914392,0.3548997209,26,5,5000,0.0231067382
